Vlan Name;Vlan ID;VNI ID;Connectivity Template;IPv4 Subnet;Virtual Gateway IP;VRF;Switches;
HRB_VL3040;3040;713040;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-95;
HRB_VL3041;3041;713041;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-96;
HRB_VL3042;3042;713042;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-97;
HRB_VL3061;3061;713061;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-98;
HRB_VL3083;3083;713083;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-99;
HRB_VL3105;3105;713105;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-100;
HRB_VL3120;3120;713120;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-101;
HRB_VL3124_ARECA;3124;713124;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-102;
HRB_VL3122_LINA;3122;713122;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-103;
HRB_VL3106_ORACLE;3106;713106;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-104;
HRB_VL3062_XDSL;3062;713062;;;;DC_UMK;UMK-DC-F2-H2-R0-2BN44-U30-H-F-65,UMK-DC-F2-H2-R0-2BN45-U30-H-F-66,UMK-DC-F2-H2-R0-2BN44-U32-H-F-67,UMK-DC-F2-H2-R0-2BN45-U32-H-F-68,UMK-DC-F2-H1-R0-2AH52-U12-H-F-69,UMK-DC-F2-H1-R0-2AG52-U12-H-F-105;
