etherchannel;etherchannel tipi;port vlan;trunk allowed vlans;generic host hostname;tag;seri no;SWITCH;PORT;SPEED;NEW DESCRIPTION;
;;;;TTGYS-FIREWALL-MGMT-10;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/6;1G;TTGYS-FIREWALL-MGMT-10
;;;;TTGYS-FIREWALL-MGMT-11;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/7;1G;TTGYS-FIREWALL-MGMT-11
;;;;TTGYS-FIREWALL-MGMT-12;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/8;1G;TTGYS-FIREWALL-MGMT-12
;;;;TTGYS-FIREWALL-MGMT-13;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/9;1G;TTGYS-FIREWALL-MGMT-13
;;;;TTGYS-FIREWALL-MGMT-14;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/10;1G;TTGYS-FIREWALL-MGMT-14
;;;;TTGYS-FIREWALL-MGMT-15;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/11;1G;TTGYS-FIREWALL-MGMT-15
;;;;TTGYS-FIREWALL-MGMT-16;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/12;1G;TTGYS-FIREWALL-MGMT-16
;;;;NARMAN18-ILO-CZ29470F8W;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/13;1G;NARMAN18-ILO-CZ29470F8W
;;;;TTGSY-UMT-KMPT-FAZ-01-MGMT;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/14;1G;TTGSY-UMT-KMPT-FAZ-01-MGMT
;;;;TTGSY-UMT-L7-A10-TPS-01-5845-SFLOW;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/15;1G;TTGSY-UMT-L7-A10-TPS-01-5845-SFLOW
;;;;TTGSY_UMT-FGT-7060E-FIM01-M1;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/16;1G;TTGSY_UMT-FGT-7060E-FIM01-M1
;;;;TTGSY-EBA-L7-DDOS-01;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/17;1G;TTGSY-EBA-L7-DDOS-01
;;;;TTGSY-EBA-L7-SWITCH-01;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/18;1G;TTGSY-EBA-L7-SWITCH-01
;;;;TTGSY-EBA-L7-DDOS-01-SFLOw;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/19;1G;TTGSY-EBA-L7-DDOS-01-SFLOw
;;;;SECURITY-SANDBOX-DATA;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/20;1G;SECURITY-SANDBOX-DATA
;;;;KMPT-SW-01-S2-172.30.101.11;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/21;1G;KMPT-SW-01-S2-172.30.101.11
;;;;GB-STORAGE-HITACHI-ILO;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/22;1G;GB-STORAGE-HITACHI-ILO
po 10;LACP ACTIVE;;;MIMAS-DATA-CZ29470F8M;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/23;1G;MIMAS-DATA-CZ29470F8M
po 10;LACP ACTIVE;;;MIMAS-DATA-CZ29470F8M;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/24;1G;MIMAS-DATA-CZ29470F8M
;;;;MIMAS-ILO-CZ29470F8M;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/25;1G;MIMAS-ILO-CZ29470F8M
;;;;TTGYS-FIREWALL-MGMT;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/26;1G;TTGYS-FIREWALL-MGMT
;;;;BACKUP-VERITAS-ILO-2;;;UMK-DC-F1-H1-R0-1BJ50-U16-A-C-44;xe-0/0/27;1G;BACKUP-VERITAS-ILO-2
;;;;CEPH-SOLOSIS00-ILO-3YXL5T3;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/0;1G;CEPH-SOLOSIS00-ILO-3YXL5T3
;;;;CEPH-SOLOSIS01-ILO-1YXL5T3;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/1;1G;CEPH-SOLOSIS01-ILO-1YXL5T3
;;;;CEPH-SOLOSIS02-ILO-FXXL5T3;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/2;1G;CEPH-SOLOSIS02-ILO-FXXL5T3
;;;;CEPH-SOLOSIS03-ILO-4YXL5T3;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/3;1G;CEPH-SOLOSIS03-ILO-4YXL5T3
;;;;CEPH-SOLOSIS04-ILO-HXXL5T3;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/4;1G;CEPH-SOLOSIS04-ILO-HXXL5T3
;;;;CEPH-SOLOSIS05-ILO-2YXL5T3;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/5;1G;CEPH-SOLOSIS05-ILO-2YXL5T3
;;;;STORAGE-SANDIRECTOR-10.6.143.93;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/6;1G;STORAGE-SANDIRECTOR-10.6.143.93
;;;;KAZABLANKA-ILO-FCH2030W020;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/7;1G;KAZABLANKA-ILO-FCH2030W020
;;;;SANSW1-ILO-10.6.113.10;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/8;1G;SANSW1-ILO-10.6.113.10
;;;;SANSW2-ILO-10.6.113.14;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/11;1G;SANSW2-ILO-10.6.113.14
;;;;GUVENLIKOLAY-DECEPTION-ILO;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/12;1G;GUVENLIKOLAY-DECEPTION-ILO
;;;;GUVENLIKOLAY-DECEPTION1-DATA;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/13;1G;GUVENLIKOLAY-DECEPTION1-DATA
;;;;GUVENLIKOLAY-DECEPTION2-DATA;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/14;1G;GUVENLIKOLAY-DECEPTION2-DATA
;;;;GUVENLIKOLAY-DECEPTION3-DATA;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/15;1G;GUVENLIKOLAY-DECEPTION3-DATA
;;;;OYP_MGMT;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/16;1G;OYP_MGMT
;;;;NTA_Reserve;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/18;1G;NTA_Reserve
;;;;BACKUP-VERITAS-ILO-3;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/19;1G;BACKUP-VERITAS-ILO-3
;;;;BACKUP-VERITAS-ILO-4;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/20;1G;BACKUP-VERITAS-ILO-4
;;;;BALTOY01-ILO-8F59QR3;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/21;1G;BALTOY01-ILO-8F59QR3
;;;;BALTOY02-ILO-6F59QR3;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/22;1G;BALTOY02-ILO-6F59QR3
;;;;BALTOY03-ILO-CZ22350CGX;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/23;1G;BALTOY03-ILO-CZ22350CGX
;;;;BALTOY04-ILO-CZ22350CGY;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/24;1G;BALTOY04-ILO-CZ22350CGY
;;;;TTSES-SIS-WEB-ANK-01-6S68032;;;UMK-DC-F1-H1-R0-1BC51-U24-A-C-46;xe-0/0/25;1G;TTSES-SIS-WEB-ANK-01-6S68032
